Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,posee_conectividad
Buenos Aires,Berisso,Villa Independencia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-34.8829519743895,-57.8614892695719,NO
Buenos Aires,Berisso,Villa Nueva,0,NO,NO,NO,SI,NO,SI,NO,SI,SI,,-34.8957079362353,-57.9108816644737,SI
Buenos Aires,Berisso,Villa Porteña,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-34.891043310448,-57.8963773978494,NO
Buenos Aires,Berisso,Villa Progreso,0,NO,NO,NO,SI,NO,SI,NO,NO,NO,,-34.9308766123633,-57.8468799885622,SI
Buenos Aires,La Matanza,Gregorio De Laferrere,248439,SI,SI,SI,SI,NO,SI,SI,SI,SI,6427010,-34.7468379962284,-58.5925328858169,SI
Buenos Aires,La Matanza,Isidro Casanova,192465,SI,SI,SI,SI,NO,SI,SI,SI,SI,6427010,-34.7184291570686,-58.577751528605,SI
Buenos Aires,La Matanza,La Tablada,113689,SI,SI,SI,SI,NO,SI,SI,SI,SI,6427010,-34.6870536689657,-58.5256123986254,SI
Buenos Aires,La Matanza,Lomas Del Mirador,74065,SI,SI,SI,SI,NO,SI,SI,SI,SI,6427010,-34.6656949723622,-58.5331553311677,SI
Buenos Aires,La Matanza,Rafael Castillo,147069,SI,SI,SI,SI,NO,SI,SI,SI,SI,6427010,-34.7132054583486,-58.6258365121679,SI
Buenos Aires,La Matanza,Ramos Mejía,139369,SI,SI,SI,SI,SI,SI,SI,SI,SI,6427010,-34.6523081823718,-58.5592114732944,SI
Córdoba,Colón,Casa Bamba,111,NO,NO,NO,NO,NO,NO,NO,SI,NO,14021040,-31.3429017095306,-64.3992718801553,SI
Córdoba,Colón,Ciudad De Los Niños,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-31.2957196524063,-64.1768685276575,NO
Buenos Aires,Rojas,Las Carabelas,1107,NO,NO,NO,SI,SI,SI,SI,NO,SI,6686020,-34.0381002651925,-60.8685264174218,SI
Buenos Aires,Rojas,Los Indios,66,NO,NO,NO,NO,NO,NO,NO,NO,NO,6686030,-34.3735696107802,-60.6523710265627,NO
Buenos Aires,Rojas,Rafael Obligado,901,NO,NO,NO,NO,NO,SI,NO,NO,SI,6686040,-34.3588132488617,-60.7845693256007,SI
Buenos Aires,Rojas,Roberto Cano,23,NO,NO,NO,NO,NO,NO,NO,NO,NO,6686050,-34.0861129760742,-60.6667747497559,NO
Buenos Aires,Rojas,Rojas,19766,SI,SI,SI,SI,NO,SI,SI,SI,SI,6686060,-34.1961600446015,-60.7332636467146,SI
Buenos Aires,Rojas,Sol de Mayo,20,NO,NO,NO,NO,NO,NO,NO,NO,NO,6686070,-34.2689448512236,-60.8717773420981,NO
Buenos Aires,Rojas,Villa Manuel Pomar,52,NO,NO,NO,NO,NO,NO,NO,NO,NO,6686080,-33.9159508805463,-60.9379380238883,NO
Buenos Aires,Rojas,Villa Parque Cecir,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,6686060,-34.1707175989305,-60.7438336816558,NO
Buenos Aires,Roque Pérez,Carlos Beguerie,399,NO,NO,NO,NO,NO,SI,SI,NO,NO,6693010,-35.4854690457283,-59.1017155978911,SI
Buenos Aires,Roque Pérez,Roque Pérez,10358,SI,SI,SI,NO,NO,SI,SI,SI,SI,6693020,-35.4016375824204,-59.3346857845207,SI
Buenos Aires,Saavedra,Arroyo Corto,514,NO,NO,NO,SI,NO,SI,SI,NO,NO,6700010,-37.512917973477,-62.3116837747426,SI
Buenos Aires,Saavedra,Colonia San Martín,92,NO,NO,NO,NO,NO,NO,NO,NO,NO,6700020,-37.9769152091143,-62.3326095560459,NO
Buenos Aires,Saavedra,Dufaur,182,NO,NO,NO,NO,NO,NO,SI,NO,NO,6700030,-37.9428223013646,-62.284864272698,SI
Buenos Aires,Saavedra,Espartillar,785,NO,NO,NO,SI,NO,SI,SI,NO,SI,6700040,-37.3604343942367,-62.4297386825705,SI
Buenos Aires,Saavedra,Goyena,516,NO,NO,NO,SI,NO,NO,NO,NO,NO,6700050,-37.7192518502325,-62.6071296330023,SI
Ciudad Autónoma de Buenos Aires,COMUNA 04,BOCA,45113,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6310700719721,-58.3568304109892,SI
Córdoba,Calamuchita,La Cruz,1363,SI,NO,NO,NO,NO,SI,SI,SI,SI,14007070,-32.3034055718452,-64.4831089740345,SI
Córdoba,Calamuchita,La Cumbrecita,549,NO,NO,NO,NO,NO,SI,NO,SI,SI,14007080,-31.8969643877578,-64.7751589433589,SI
Córdoba,Calamuchita,Las Bajadas,141,NO,NO,NO,NO,NO,SI,NO,NO,SI,14007090,-32.0954063583092,-64.3310535546374,SI
Córdoba,Calamuchita,Las Caleras,192,NO,NO,NO,NO,NO,SI,SI,NO,NO,14007100,-32.3893612457104,-64.5185923418535,SI
Córdoba,Calamuchita,Los Cóndores,2879,SI,NO,NO,NO,SI,SI,SI,SI,SI,14007110,-32.3211277679392,-64.2810080327514,SI
Córdoba,Calamuchita,Los Molinos,260,NO,NO,NO,NO,NO,SI,NO,NO,NO,14007120,-31.8568223164309,-64.3779521586489,SI
Ciudad Autónoma de Buenos Aires,COMUNA 11,VILLA SANTA RITA,33325,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6161936201559,-58.4829573518477,SI
Córdoba,Colón,Colonia Caroya,16168,SI,SI,NO,SI,NO,SI,SI,SI,SI,14021050,-31.0172322466264,-64.066728610829,SI
Córdoba,Colón,Colonia Tirolesa,1293,NO,NO,NO,NO,NO,NO,SI,SI,SI,14021060,-31.2357859283773,-64.0672541009397,SI
Córdoba,Colón,Colonia Vicente Agüero,123,NO,NO,NO,NO,NO,NO,SI,NO,NO,14021070,-31.0277849308523,-64.019045653731,SI
Córdoba,Colón,Corral Quemado,52,NO,NO,NO,NO,NO,NO,NO,NO,NO,14021080,-30.9890353478112,-64.3778448899044,NO
Córdoba,Colón,Country Chacras de la Villa - Country San Isidro,2178,NO,NO,NO,NO,NO,NO,NO,SI,SI,14021090,-31.3015080091569,-64.2382229714889,SI
Córdoba,Colón,Dumesnil,0,NO,NO,NO,SI,NO,NO,NO,NO,SI,,-31.3321162961153,-64.3336598560636,SI
Córdoba,Colón,El Diquecito,0,NO,NO,NO,NO,NO,NO,NO,NO,SI,,-31.3589143636745,-64.3650932467319,SI
Río Negro,General Roca,Barrio Costa Oeste,834,NO,NO,NO,NO,NO,NO,NO,SI,SI,62042110,-39.0280740237159,-67.8406950461568,SI
Córdoba,Calamuchita,Los Reartes,1192,SI,NO,NO,NO,SI,SI,SI,SI,SI,14007130,-31.919856077953,-64.5755037073336,SI
Córdoba,Calamuchita,Lutti,20,NO,NO,NO,NO,NO,NO,NO,NO,NO,14007140,-32.2989441032587,-64.7254379234594,NO
Córdoba,Calamuchita,Monte Ralo,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,,-31.916666666667,-64.238888888889,NO
Córdoba,Calamuchita,Parque Calmayo,44,NO,NO,NO,NO,NO,SI,NO,NO,NO,14007160,-32.0237443074993,-64.4641636844138,SI
Córdoba,Calamuchita,Río de los Sauces,1001,NO,NO,NO,NO,NO,SI,SI,SI,SI,14007170,-32.5265595269976,-64.5869530802431,SI
Córdoba,Calamuchita,San Agustín,3317,SI,NO,NO,SI,NO,SI,SI,SI,SI,14007180,-31.9763155149128,-64.3733067164283,SI
Córdoba,Calamuchita,San Ignacio (Loteo San Javier),140,NO,NO,NO,NO,NO,SI,SI,NO,NO,14007190,-32.1667856733263,-64.5163972060979,SI
